Data,method,Omics gap reduction,Bio-conservation,Alignment accuracy,Overall Performance,Rare cell type performance,Computational reproducibility,Sample batch correction
pbmc3k,MaxFuse,0.495,0.615,0.778333333333333,0.629444444444444,,,
Mast607A,MaxFuse,0.845,0.35,0.383333333333333,0.526111111111111,,,
BRCA,MaxFuse,0.505,0.69,0.815,0.67,0.8511524720001997,0.991949072672254,
BMMC_d1,MaxFuse,0.44,0.665,0.59,0.625,,,0.803
pbmc3k,MIDAS,0.765,0.53,0.701666666666667,0.665555555555556,,,
Mast607A,MIDAS,0.75,0.41,0.426666666666667,0.528888888888889,,,
BRCA,MIDAS,0.55,0.545,0.62,0.571666666666667,0.8014451137291956,0.958119818382828,
BMMC_d1,MIDAS,0.604,0.67,0.758,0.7,,,0.766
pbmc3k,scButterfly,0.46,0.76,0.833333333333333,0.684444444444444,,,
Mast607A,scButterfly,0.37,0.395,0.286666666666667,0.350555555555556,,,
BRCA,scButterfly,0.325,0.64,0.561666666666667,0.508888888888889,0.641248515119097,0.9618384209275708,
BMMC_d1,scButterfly,0.478,0.698,0.694,0.677,,,0.837
