Dataset,methods,running time,memory usage,GPU requirment,Data requirement,Test cell counts
pbmc3k,BindSC,248.73,4676,1,1,3284
HT263,BindSC,571.46,7778,1,1,8946
BRCA,BindSC,608.14,11626,1,1,11566
pbmc10k,BindSC,659.72,13550,1,1,14318
Mast607A,BindSC,680.13,16934,1,1,16582
BMMC,BindSC,1180.49,78314,1,1,62196
pbmc3k,Cobolt,21488.39,3230,0,0.5,3284
HT263,Cobolt,149346,5473,0,0.5,8946
BRCA,Cobolt,182832,6473,0,0.5,11566
pbmc10k,Cobolt,184066.8,6426,0,0.5,14318
Mast607A,Cobolt,231003.11,9488,0,0.5,16582
BMMC,Cobolt,752407,19115,0,0.5,62196
pbmc3k,MaxFuse,11.7,3521,1,1,3284
BRCA,MaxFuse,81.7,8343,1,1,11566
pbmc10k,MaxFuse,137,921,1,1,14318
Mast607A,MaxFuse,144.8,11364,1,1,16582
BMMC,MaxFuse,1217.2,28681,1,1,62196
pbmc3k,MIDAS,4808.8,7920,0,0.5,3284
BRCA,MIDAS,26287.7,16287.7,0,0.5,11566
pbmc10k,MIDAS,15451,15269,0,0.5,14318
Mast607A,MIDAS,20435.3,27022,0,0.5,16582
BMMC,MIDAS,23681.3,54385,0,0.5,62196
pbmc3k,Portal,19315,954,0,1,3284
HT263,Portal,26133,1547,0,1,8946
BRCA,Portal,29390,1596,0,1,11566
pbmc10k,Portal,44306,2208,0,1,14318
Mast607A,Portal,46285,2416,0,1,16582
BMMC,Portal,53473,21440,0,1,62196
pbmc3k,scBridge,1316,2339,0,0.75,3284
HT263,scBridge,9984,2802,0,0.75,8946
BRCA,scBridge,9993,5901,0,0.75,11566
pbmc10k,scBridge,10993,6085,0,0.75,14318
Mast607A,scBridge,44437,6883,0,0.75,16582
BMMC,scBridge,45420,16114,0,0.75,62196
pbmc3k,scButterfly,1235,6776,0,0.5,3284
BRCA,scButterfly,6968.4,99008,0,0.5,11566
pbmc10k,scButterfly,5707,43233,0,0.5,14318
Mast607A,scButterfly,16032.8,112873,0,0.5,16582
BMMC,scButterfly,15415.5,203039,0,0.5,62196
pbmc3k,scDART,25054,6764,0,1,3284
HT263,scDART,182983,25625,0,1,8946
BRCA,scDART,242157,27507,0,1,11566
pbmc10k,scDART,243624,26474,0,1,14318
Mast607A,scDART,271318,30264,0,1,16582
BMMC,scDART,407482,89961,0,1,62196
pbmc3k,scglue,12523,4232,0,1,3284
HT263,scglue,446563,33622,0,1,8946
BRCA,scglue,446563,30244,0,1,11566
pbmc10k,scglue,15278,39110,0,1,14318
Mast607A,scglue,626079,34993,0,1,16582
BMMC,scglue,1528656,44043,0,1,62196
pbmc3k,scglue(multiome),13942,4488,0,0.5,3284
HT263,scglue(multiome),17077,17077,0,0.5,8946
BRCA,scglue(multiome),17055,27055,0,0.5,11566
pbmc10k,scglue(multiome),17993,17993,0,0.5,14318
Mast607A,scglue(multiome),24110,24110,0,0.5,16582
BMMC,scglue(multiome),248081,41889,0,0.5,62196
pbmc3k,scJoint,121,3271,0,0.75,3284
HT263,scJoint,485,1752,0,0.75,8946
BRCA,scJoint,506,2116,0,0.75,11566
pbmc10k,scJoint,503,4432,0,0.75,14318
Mast607A,scJoint,563,4165,0,0.75,16582
BMMC,scJoint,897,19260,0,0.75,62196
pbmc3k,scVI,8867,6184,1,0.5,3284
HT263,scVI,247818,7454,1,0.5,8946
BRCA,scVI,254412,9716,1,0.5,11566
pbmc10k,scVI,272109,10547,1,0.5,14318
Mast607A,scVI,285669,21373,1,0.5,16582
BMMC,scVI,13105455,42398,1,0.5,62196
pbmc3k,Seurat(CCA),203,3521,1,1,3284
HT263,Seurat(CCA),183,6778,1,1,8946
BRCA,Seurat(CCA),244,10626,1,1,11566
pbmc10k,Seurat(CCA),562,12566,1,1,14318
Mast607A,Seurat(CCA),529,18362,1,1,16582
BMMC,Seurat(CCA),861,27191,1,1,62196
pbmc3k,simba,2922,9225,1,1,3284
HT263,simba,13283,18985,1,1,8946
BRCA,simba,14696,25940,1,1,11566
pbmc10k,simba,22583,29880,1,1,14318
Mast607A,simba,25122,28934,1,1,16582
BMMC,simba,173473,69961,1,1,62196
